"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2009","1.4003","1.3931","1.4069","1.3865","","0.50%"
"12-03-2009","1.3933","1.3852","1.3982","1.3704","","0.53%"
"11-03-2009","1.3860","1.3767","1.3889","1.3658","","0.83%"
"10-03-2009","1.3746","1.3784","1.3904","1.3690","","-0.17%"
"09-03-2009","1.3770","1.4150","1.4182","1.3744","","-2.18%"
"06-03-2009","1.4077","1.4125","1.4299","1.4044","","-0.43%"
"05-03-2009","1.4138","1.4182","1.4232","1.4040","","-0.18%"
"04-03-2009","1.4163","1.4039","1.4198","1.3986","","0.75%"
"03-03-2009","1.4057","1.4047","1.4157","1.3988","","0.06%"
"02-03-2009","1.4048","1.4257","1.4295","1.3960","","-1.82%"
"27-02-2009","1.4309","1.4313","1.4365","1.4113","","0.06%"
"26-02-2009","1.4301","1.4208","1.4385","1.4162","","0.74%"
"25-02-2009","1.4196","1.4502","1.4604","1.4175","","-1.93%"
"24-02-2009","1.4476","1.4463","1.4579","1.4377","","-0.07%"
"23-02-2009","1.4486","1.4384","1.4662","1.4367","","0.33%"
"20-02-2009","1.4438","1.4274","1.4472","1.4154","","1.08%"
"19-02-2009","1.4284","1.4230","1.4447","1.4223","","0.47%"
"18-02-2009","1.4217","1.4242","1.4299","1.4095","","-0.18%"
"17-02-2009","1.4242","1.4291","1.4310","1.4125","","-0.20%"
"16-02-2009","1.4271","1.4221","1.4319","1.4152","","-0.79%"
"13-02-2009","1.4385","1.4286","1.4603","1.4267","","0.88%"
"12-02-2009","1.4260","1.4368","1.4415","1.4139","","-0.84%"
"11-02-2009","1.4381","1.4551","1.4566","1.4316","","-0.90%"
"10-02-2009","1.4512","1.4883","1.4904","1.4457","","-2.64%"
"09-02-2009","1.4906","1.4794","1.4985","1.4703","","0.71%"
"06-02-2009","1.4801","1.4626","1.4842","1.4592","","1.26%"
"05-02-2009","1.4617","1.4466","1.4703","1.4370","","1.17%"
"04-02-2009","1.4448","1.4446","1.4577","1.4326","","-0.11%"
"03-02-2009","1.4464","1.4246","1.4484","1.4158","","1.32%"
"02-02-2009","1.4276","1.4431","1.4461","1.4052","","-1.57%"
"30-01-2009","1.4503","1.4288","1.4537","1.4189","","1.41%"
"29-01-2009","1.4302","1.4234","1.4405","1.4072","","0.64%"
"28-01-2009","1.4211","1.4159","1.4368","1.4125","","0.50%"
"27-01-2009","1.4141","1.3979","1.4240","1.3931","","1.27%"
"26-01-2009","1.3964","1.3668","1.4026","1.3549","","1.11%"
"23-01-2009","1.3811","1.3877","1.3893","1.3506","","-0.34%"
"22-01-2009","1.3858","1.3929","1.3999","1.3693","","-0.87%"
"21-01-2009","1.3979","1.3898","1.4023","1.3622","","0.56%"
"20-01-2009","1.3901","1.4440","1.4444","1.3844","","-3.85%"
"19-01-2009","1.4458","1.4855","1.4910","1.4400","","-1.93%"
"16-01-2009","1.4743","1.4660","1.4981","1.4644","","0.59%"
"15-01-2009","1.4656","1.4610","1.4685","1.4483","","0.57%"
"14-01-2009","1.4573","1.4507","1.4710","1.4491","","0.50%"
"13-01-2009","1.4500","1.4815","1.4825","1.4474","","-2.21%"
"12-01-2009","1.4828","1.5110","1.5131","1.4808","","-2.25%"
"09-01-2009","1.5169","1.5222","1.5349","1.5118","","-0.49%"
"08-01-2009","1.5243","1.5103","1.5373","1.4985","","0.87%"
"07-01-2009","1.5111","1.4922","1.5280","1.4810","","1.25%"
"06-01-2009","1.4925","1.4696","1.4993","1.4506","","1.54%"
"05-01-2009","1.4698","1.4528","1.4739","1.4430","","1.20%"
"02-01-2009","1.4523","1.4717","1.4780","1.4384","","-0.56%"
"01-01-2009","1.4605","1.4633","1.4722","1.4556","","-0.14%"
"31-12-2008","1.4626","1.4434","1.4699","1.4367","","1.32%"
"30-12-2008","1.4435","1.4457","1.4549","1.4388","","-0.39%"
"29-12-2008","1.4491","1.4661","1.4771","1.4419","","-1.06%"
"26-12-2008","1.4646","1.4736","1.4800","1.4648","","-0.01%"
"25-12-2008","1.4648","1.4730","1.4979","1.4648","","-0.68%"
"24-12-2008","1.4748","1.4739","1.4806","1.4659","","-0.16%"
"23-12-2008","1.4772","1.4828","1.4897","1.4673","","-0.42%"
"22-12-2008","1.4835","1.4960","1.4990","1.4686","","-0.60%"
"19-12-2008","1.4925","1.5045","1.5187","1.4812","","-0.67%"
"18-12-2008","1.5026","1.5515","1.5617","1.4894","","-3.12%"
"17-12-2008","1.5510","1.5586","1.5724","1.5247","","-0.60%"
"16-12-2008","1.5603","1.5308","1.5646","1.5204","","1.92%"
"15-12-2008","1.5309","1.4973","1.5380","1.4920","","2.36%"
"12-12-2008","1.4956","1.5021","1.5117","1.4817","","-0.46%"
"11-12-2008","1.5025","1.4785","1.5080","1.4782","","1.62%"
"10-12-2008","1.4786","1.4751","1.4880","1.4736","","0.34%"
"09-12-2008","1.4736","1.4884","1.4906","1.4680","","-1.12%"
"08-12-2008","1.4903","1.4715","1.5047","1.4694","","0.96%"
"05-12-2008","1.4762","1.4682","1.4768","1.4528","","0.65%"
"04-12-2008","1.4667","1.4777","1.4813","1.4471","","-0.70%"
"03-12-2008","1.4770","1.4901","1.4934","1.4665","","-0.91%"
"02-12-2008","1.4905","1.4876","1.5067","1.4781","","0.15%"
"01-12-2008","1.4883","1.5358","1.5377","1.4808","","-3.31%"
"28-11-2008","1.5393","1.5402","1.5448","1.5263","","0.00%"
"27-11-2008","1.5393","1.5330","1.5512","1.5312","","0.29%"
"26-11-2008","1.5349","1.5444","1.5463","1.5180","","-0.73%"
"25-11-2008","1.5462","1.5156","1.5532","1.4984","","2.03%"
"24-11-2008","1.5155","1.4927","1.5183","1.4842","","1.78%"
"21-11-2008","1.4890","1.4729","1.5061","1.4711","","1.11%"
"20-11-2008","1.4727","1.4968","1.4997","1.4718","","-1.57%"
"19-11-2008","1.4962","1.4957","1.5249","1.4905","","-0.03%"
